team,elo_rating
Găgăuzia,1422.7775335562305
Tajikistan,1421.5710961527527
Lesotho,1420.3065782393505
Niue,1420.2659156001073
Two Sicilies,1413.0104145391895
Marshall Islands,1411.6513558169042
Namibia,1410.6696571668062
Papua New Guinea,1410.1581986492056
Ticino,1409.2593936243984
Tanzania,1406.8724345777189
Vanuatu,1404.701134536869
Cuba,1402.1232743520663
Manchukuo,1401.2607535638267
Western Sahara,1392.2533260932769
Orkney,1392.214428570109
Malta,1390.0043732174233
Ethiopia,1389.1643615743606
Cyprus,1388.952663572435
Botswana,1388.5582761126318
Azerbaijan,1386.39570532751
Western Australia,1386.1745326238167
Turkmenistan,1382.642578977955
Burundi,1381.9204982246822
Ambazonia,1379.8084836128367
Raetia,1378.88281728056
Fiji,1375.6361389443543
Palau,1372.8407301553073
Saint Barthélemy,1371.9215468657467
Vatican City,1361.593030344475
Lithuania,1357.1945937145626
Central African Republic,1353.0044577757553
Saint Vincent and the Grenadines,1350.8280439772
Latvia,1346.5087503305353
Barawa,1342.7448046564634
Guinea-Bissau,1342.4989005349519
Puerto Rico,1341.6906900024228
Bermuda,1340.9265946664505
Yemen DPR,1340.0508116020856
Saare County,1335.3247072584447
Hitra,1335.1105679299012
Saint Helena,1333.666682427062
Moldova,1333.2154309462212
Chagos Islands,1332.7111625341538
Solomon Islands,1329.1433062951862
Philippines,1327.5332919359519
Vietnam Republic,1325.3711230913364
Sark,1317.5532533612413
Eswatini,1311.7097348992634
Congo,1308.0928898578832
Micronesia,1304.2223399142672
Yemen,1290.8338499555011
Saint Martin,1287.979676562293
Sint Maarten,1281.964292638097
Wallis Islands and Futuna,1281.1217227612783
Grenada,1276.1606011896445
Singapore,1276.0653304326904
South Sudan,1272.348054534888
Belize,1270.615777582237
Saint Pierre and Miquelon,1268.436249851982
Hong Kong,1267.7585852395998
Darfur,1262.9272044488869
Saint Kitts and Nevis,1253.2668029560045
Tibet,1246.8240896926395
Chad,1231.9055192562423
Montserrat,1226.1043398741547
Kiribati,1210.0789850340732
Samoa,1208.0391842403062
India,1207.6906236514676
Aruba,1207.393167335458
Saint Lucia,1203.8322535846876
Falkland Islands,1201.0182948876216
Mauritius,1195.032518689445
Tuvalu,1190.0611287405668
Frøya,1178.3250109959267
Eritrea,1171.1228836760317
São Tomé and Príncipe,1164.4039591769363
Dominica,1158.1930981288053
Andorra,1157.3024249704513
Gibraltar,1151.6101744717816
Afghanistan,1127.140914136087
Bangladesh,1120.317076134616
Barbados,1114.3674423117382
Myanmar,1112.7948821466991
Antigua and Barbuda,1111.1511713220843
Bonaire,1109.7594951284925
Cook Islands,1100.7589083535033
Pakistan,1093.0504695955597
Nepal,1090.9065249367138
Alderney,1068.96903912879
Djibouti,1067.1552513111558
Cambodia,1062.330473295948
Somalia,1056.784335803168
Tonga,1046.4340158062512
British Virgin Islands,1040.4318228925003
Taiwan,1039.7757002985115
Cayman Islands,1022.6685984887403
Sri Lanka,1001.4351811619207
Seychelles,989.8792812372841
Turks and Caicos Islands,989.2269191229278
United States Virgin Islands,978.7459988733594
Maldives,961.7725468664886
Liechtenstein,960.4829289486433
Mongolia,954.943258265596
Guam,940.328886075279
Bahamas,939.7402990550127
Northern Mariana Islands,937.5347309885937
San Marino,908.0757381323489
American Samoa,906.608026631992
Laos,904.7368409369793
Anguilla,898.655870353027
Timor-Leste,882.7107988112012
Brunei,875.229512869168
Bhutan,837.4356026283889
Macau,790.9353550086771
